,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.02,0.02,0.02,0.02,0.2,0.32,0.14
Unutilized Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature Envy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Broken Hierarchy,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Broken Modularization,0.01,0.01,0.0,0.0,0.33,0.02,0.03
Insufficient Modularization,0.0,0.0,0.0,0.0,0.75,0.25,0.0
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.49,0.0,0.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.16,0.32
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.31,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
