,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.08,0.01,0.11,0.0,0.0,0.01,0.07
Unutilized Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature Envy,0.21,0.08,0.2,0.08,0.06,0.02,0.07
Broken Hierarchy,0.4,0.16,0.33,0.13,0.05,0.06,0.0
Broken Modularization,0.06,0.0,0.07,0.01,0.0,0.0,0.17
Insufficient Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wide Hierarchy,0.66,0.0,0.87,0.21,0.05,0.0,0.0
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.31
Multifaceted Abstraction,0.04,0.0,0.06,0.0,0.0,0.0,0.01
Cyclically-dependent Modularization,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
