,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.03,0.04,0.02,0.01,0.17,0.08,0.08
Unutilized Abstraction,0.5,0.5,0.0,0.0,0.5,0.5,1.0
Feature Envy,0.0,0.0,0.0,0.0,0.67,0.37,0.67
Broken Hierarchy,0.49,0.49,0.24,0.0,0.24,0.49,0.24
Broken Modularization,0.14,0.14,0.07,0.0,0.17,0.19,0.09
Insufficient Modularization,0.12,0.16,0.0,0.0,0.18,0.18,0.0
Wide Hierarchy,0.17,0.34,0.17,0.0,0.75,0.36,0.38
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.78,0.78,0.5
Multifaceted Abstraction,0.0,0.0,0.0,0.0,1.0,0.4,0.25
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
